"month","in_government","Topic_ID","Score","Role","Topic_Label","Regime"
2013-02-01,"1","T1",0.00886419285813862,"Government","T1: Mother and Baby Homes & County Homes","Other"
2013-02-01,"1","T2",0.0120613810959201,"Government","T2: Survivor Redress & Exclusions","Exploratory"
2013-02-01,"1","T3",0.0212132949893971,"Government","T3: Party Politics","Exploratory"
2013-02-01,"1","T4",0.0011684210262658,"Government","T4: Tuam Site & Excavation","Managerial"
2013-02-01,"1","T5",8.09218745360587e-06,"Government","T5: Childcare Funding","Managerial"
2013-02-01,"1","T6",0.0372639930397988,"Government","T6: Human Rights & Legislation","Exploratory"
2013-02-01,"1","T7",0.00684167992188891,"Government","T7: Commission Reports & Delays","Other"
2013-02-01,"1","T8",0.0163165238878324,"Government","T8: Redress Administration","Managerial"
2013-02-01,"1","T9",0.0070335844674292,"Government","T9: Adoption & Identity","Other"
2013-02-01,"1","T10",0.00380242740185233,"Government","T10: Archives & Records","Other"
2013-02-01,"1","T11",0.0185680659298745,"Government","T11: Infant Mortality & Vaccine Trials","Exploratory"
2013-02-01,"1","T12",0.00806176125499465,"Government","T12: Family Law & Social Norms","Exploratory"
2013-02-01,"1","T13",0.00318399404661645,"Government","T13: Parliamentary Procedure","Managerial"
2013-02-01,"1","T14",0.0132016574176557,"Government","T14: Order of Business & Seanad","Managerial"
2013-02-01,"1","T15",0.015820986442926,"Government","T15: Abortion & Eighth Amendment","Other"
2013-02-01,"1","T16",0.0483631076295315,"Government","T16: Informal & Direct Debate","Exploratory"
2013-02-01,"1","T17",0.0460620390896487,"Government","T17: Commission Scope & Establishment","Managerial"
2013-02-01,"1","T18",0.0496441108031207,"Government","T18: Grace Case & Child Protection","Exploratory"
2013-02-01,"1","T19",0.555328259533159,"Government","T19: Survivor Truth & Shame","Exploratory"
2013-02-01,"1","T20",0.113262016560761,"Government","T20: Formal & Supportive Debate","Managerial"
2013-02-01,"1","T21",2.84143267977747e-05,"Government","T21: Irish Language","Exploratory"
2013-02-01,"1","T22",0.0139019960889379,"Government","T22: Church Role","Exploratory"
2013-05-01,"0","T1",0.0190435788898976,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2013-05-01,"0","T2",0.00585323609390034,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2013-05-01,"0","T3",0.0134305845197464,"Opposition","T3: Party Politics","Exploratory"
2013-05-01,"0","T4",0.000801650433795484,"Opposition","T4: Tuam Site & Excavation","Managerial"
2013-05-01,"0","T5",1.7007505403431e-05,"Opposition","T5: Childcare Funding","Managerial"
2013-05-01,"0","T6",0.0188711896026957,"Opposition","T6: Human Rights & Legislation","Exploratory"
2013-05-01,"0","T7",0.00883064841475672,"Opposition","T7: Commission Reports & Delays","Other"
2013-05-01,"0","T8",0.00243872436420184,"Opposition","T8: Redress Administration","Managerial"
2013-05-01,"0","T9",0.676741792331775,"Opposition","T9: Adoption & Identity","Other"
2013-05-01,"0","T10",0.0182414819612285,"Opposition","T10: Archives & Records","Other"
2013-05-01,"0","T11",0.0181471420461706,"Opposition","T11: Infant Mortality & Vaccine Trials","Exploratory"
2013-05-01,"0","T12",0.0260741263287734,"Opposition","T12: Family Law & Social Norms","Exploratory"
2013-05-01,"0","T13",0.00530397736934342,"Opposition","T13: Parliamentary Procedure","Managerial"
2013-05-01,"0","T14",0.00129295963230592,"Opposition","T14: Order of Business & Seanad","Managerial"
2013-05-01,"0","T15",0.00275152686661653,"Opposition","T15: Abortion & Eighth Amendment","Other"
2013-05-01,"0","T16",0.137636337557211,"Opposition","T16: Informal & Direct Debate","Exploratory"
2013-05-01,"0","T17",0.0069683807555992,"Opposition","T17: Commission Scope & Establishment","Managerial"
2013-05-01,"0","T18",0.00570499036810304,"Opposition","T18: Grace Case & Child Protection","Exploratory"
2013-05-01,"0","T19",0.00773156059683401,"Opposition","T19: Survivor Truth & Shame","Exploratory"
2013-05-01,"0","T20",0.0198030396360341,"Opposition","T20: Formal & Supportive Debate","Managerial"
2013-05-01,"0","T21",0.000227560027549824,"Opposition","T21: Irish Language","Exploratory"
2013-05-01,"0","T22",0.00408850469805805,"Opposition","T22: Church Role","Exploratory"
2013-05-01,"1","T1",0.0685319542625833,"Government","T1: Mother and Baby Homes & County Homes","Other"
2013-05-01,"1","T2",0.0497340084447096,"Government","T2: Survivor Redress & Exclusions","Exploratory"
2013-05-01,"1","T3",0.00621954102063531,"Government","T3: Party Politics","Exploratory"
2013-05-01,"1","T4",0.0048849323161669,"Government","T4: Tuam Site & Excavation","Managerial"
2013-05-01,"1","T5",6.49959049725009e-05,"Government","T5: Childcare Funding","Managerial"
2013-05-01,"1","T6",0.0809348196109175,"Government","T6: Human Rights & Legislation","Exploratory"
2013-05-01,"1","T7",0.025280781109278,"Government","T7: Commission Reports & Delays","Other"
2013-05-01,"1","T8",0.0719677414407436,"Government","T8: Redress Administration","Managerial"
2013-05-01,"1","T9",0.164657720036259,"Government","T9: Adoption & Identity","Other"
2013-05-01,"1","T10",0.0647861678411786,"Government","T10: Archives & Records","Other"
2013-05-01,"1","T11",0.0877765443954168,"Government","T11: Infant Mortality & Vaccine Trials","Exploratory"
2013-05-01,"1","T12",0.00338733220194775,"Government","T12: Family Law & Social Norms","Exploratory"
2013-05-01,"1","T13",0.0112685877362316,"Government","T13: Parliamentary Procedure","Managerial"
2013-05-01,"1","T14",0.00403619653822876,"Government","T14: Order of Business & Seanad","Managerial"
2013-05-01,"1","T15",0.00172189901284578,"Government","T15: Abortion & Eighth Amendment","Other"
2013-05-01,"1","T16",0.16796460378392,"Government","T16: Informal & Direct Debate","Exploratory"
2013-05-01,"1","T17",0.123842625546423,"Government","T17: Commission Scope & Establishment","Managerial"
2013-05-01,"1","T18",0.00101290960410796,"Government","T18: Grace Case & Child Protection","Exploratory"
2013-05-01,"1","T19",0.0380946868594611,"Government","T19: Survivor Truth & Shame","Exploratory"
2013-05-01,"1","T20",0.0146229246943086,"Government","T20: Formal & Supportive Debate","Managerial"
2013-05-01,"1","T21",3.03119435599424e-05,"Government","T21: Irish Language","Exploratory"
2013-05-01,"1","T22",0.00917871569610397,"Government","T22: Church Role","Exploratory"
2013-06-01,"0","T1",0.0214514418562658,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2013-06-01,"0","T2",0.0438058494571146,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2013-06-01,"0","T3",0.333618421058574,"Opposition","T3: Party Politics","Exploratory"
2013-06-01,"0","T4",0.00125611861615591,"Opposition","T4: Tuam Site & Excavation","Managerial"
2013-06-01,"0","T5",1.7433250231474e-05,"Opposition","T5: Childcare Funding","Managerial"
2013-06-01,"0","T6",0.0329324053093686,"Opposition","T6: Human Rights & Legislation","Exploratory"
2013-06-01,"0","T7",0.0407074771983875,"Opposition","T7: Commission Reports & Delays","Other"
2013-06-01,"0","T8",0.00204773348973092,"Opposition","T8: Redress Administration","Managerial"
2013-06-01,"0","T9",0.00419843787959255,"Opposition","T9: Adoption & Identity","Other"
2013-06-01,"0","T10",0.00376242099682357,"Opposition","T10: Archives & Records","Other"
2013-06-01,"0","T11",0.0334200613344186,"Opposition","T11: Infant Mortality & Vaccine Trials","Exploratory"
2013-06-01,"0","T12",0.0447467131128211,"Opposition","T12: Family Law & Social Norms","Exploratory"
2013-06-01,"0","T13",0.0238759842867935,"Opposition","T13: Parliamentary Procedure","Managerial"
2013-06-01,"0","T14",0.00429975490690312,"Opposition","T14: Order of Business & Seanad","Managerial"
2013-06-01,"0","T15",0.0656810165643517,"Opposition","T15: Abortion & Eighth Amendment","Other"
2013-06-01,"0","T16",0.136934859735499,"Opposition","T16: Informal & Direct Debate","Exploratory"
2013-06-01,"0","T17",0.0121369491638685,"Opposition","T17: Commission Scope & Establishment","Managerial"
2013-06-01,"0","T18",0.0384223385567549,"Opposition","T18: Grace Case & Child Protection","Exploratory"
2013-06-01,"0","T19",0.0941700519165404,"Opposition","T19: Survivor Truth & Shame","Exploratory"
2013-06-01,"0","T20",0.039988063459216,"Opposition","T20: Formal & Supportive Debate","Managerial"
2013-06-01,"0","T21",0.000438353378567651,"Opposition","T21: Irish Language","Exploratory"
2013-06-01,"0","T22",0.022088114472021,"Opposition","T22: Church Role","Exploratory"
2013-07-01,"0","T1",0.0546307033676108,"Opposition","T1: Mother and Baby Homes & County Homes","Other"
2013-07-01,"0","T2",0.0428143272544798,"Opposition","T2: Survivor Redress & Exclusions","Exploratory"
2013-07-01,"0","T3",0.0792451961152757,"Opposition","T3: Party Politics","Exploratory"
2013-07-01,"0","T4",0.00495164806314517,"Opposition","T4: Tuam Site & Excavation","Managerial"
2013-07-01,"0","T5",5.55708992016775e-05,"Opposition","T5: Childcare Funding","Managerial"
2013-07-01,"0","T6",0.0285145456711421,"Opposition","T6: Human Rights & Legislation","Exploratory"
2013-07-01,"0","T7",0.0397808815895571,"Opposition","T7: Commission Reports & Delays","Other"
2013-07-01,"0","T8",0.00388467116657129,"Opposition","T8: Redress Administration","Managerial"
2013-07-01,"0","T9",0.00906824246104588,"Opposition","T9: Adoption & Identity","Other"
