speaker_norm,in_government,date,speech_idx,Managerial,Exploratory,parlasent_sentiment_sent,survivor_similarity_sent
aodhan o riordain,1,2015-02-24,0,0.679824113770862,0.23633047040997,2.598922810724212,0.25318098
robert troy,0,2015-02-19,0,0.532917203840294,0.385988258635437,1.9270783519993224,0.3374806
micheal martin,0,2015-02-18,0,0.349430236972472,0.480483388185255,1.0605396032333374,0.2645912
maureen o'sullivan,0,2015-02-17,0,0.411822689516919,0.506318964556084,1.653796362876892,0.46403694
robert troy,0,2015-01-29,0,0.0975750199352791,0.876067271015402,1.5907116760649989,0.38347518
maureen o'sullivan,0,2015-01-29,0,0.274967903033839,0.68498424148641,2.102126140192331,0.5319042
aodhan o riordain,1,2015-01-29,0,0.717079878814055,0.25446029299684,2.7423613644365608,0.24542402
ivana bacik,1,2015-01-28,0,0.609513859183338,0.26063736912853,2.884789868616141,0.25610775
niall collins,0,2015-01-28,0,0.466560793105277,0.513448201824598,1.4664254607815368,0.37741262
joan burton,1,2015-01-28,0,0.370930551890148,0.500672468834753,2.487454210181494,0.630311
david p.b. norris,0,2015-01-27,0,0.306330182334474,0.572052423715975,2.1221516054868697,0.48533148
aodhan o riordain,1,2015-01-22,0,0.260148334965911,0.720229846585362,2.0971851189588677,0.43745607
robert troy,0,2015-01-21,0,0.474716635686474,0.451791507249399,2.1313691050106405,0.48337027
maureen o'sullivan,0,2015-01-21,0,0.277559470226826,0.605525341712301,1.1070367412810975,0.4501513
maureen o'sullivan,0,2015-01-21,1,0.461503775671052,0.433097377605513,2.216431819700769,0.5012393
robert troy,0,2015-01-20,0,0.112095270306886,0.856666705984983,0.7355347341961331,0.3257216
sean canney,0,2023-12-14,0,0.434938525087774,0.462838411755546,2.7449965476989746,0.22427125
sean canney,0,2023-12-14,1,0.186166715682302,0.553308324840307,1.5970348030328751,0.38836342
sean canney,0,2023-12-14,2,0.133256532001413,0.748130304646697,1.141693032036225,0.36916614
jennifer murnane o'connor,1,2023-12-14,0,0.176368179050214,0.703979363880966,2.6577203803592258,0.24343109
catherine connolly,0,2023-12-14,0,0.0253987770412041,0.93862864294268,1.988536006395231,0.4122656
jennifer murnane o'connor,1,2023-12-13,0,0.258805619641675,0.570861880549363,2.798071437411838,0.29150784
catherine connolly,0,2023-11-29,0,0.954262151817562,0.0313646424564652,2.628050923347473,0.302381
eileen flynn,0,2023-11-15,0,0.142284785181204,0.836580777554659,1.1422445005426805,0.34309912
victor boyhan,0,2023-10-25,0,0.545315152709894,0.239569561924369,2.6460330096944684,0.38228178
jennifer murnane o'connor,1,2023-10-12,0,0.575577426443228,0.400379032188067,2.6398732346881713,0.35789034
aodhan o riordain,0,2023-07-12,0,0.133905400330716,0.385041658784796,2.025264558625286,0.32597083
eileen flynn,0,2023-07-11,0,0.19805041327235,0.776361248199869,2.6497470435240995,0.40035352
